term,coef,se,t,p,ci_lo,ci_hi,event_time,group,outcome,spec,n_obs,n_authors,n_clusters,cond,career_band,subject_group,lag_band,income_group,meaningful
k+0:AUTHOR_MISCONDUCT,0.039999999999999994,0.014523114399448003,2.7542301809259535,0.005883037629433208,0.01153469577708191,0.06846530422291808,0,AUTHOR_MISCONDUCT,active,active ~ arm | subject_group=HSC,34021,2617,438,15.461753731343356,,HSC,,,1.0
k+1:AUTHOR_MISCONDUCT,-0.06745098039215693,0.012655908212695481,-5.329604107312902,9.84270860371339e-08,-0.09225656048904007,-0.04264540029527378,1,AUTHOR_MISCONDUCT,active,active ~ arm | subject_group=HSC,34021,2617,438,15.461753731343356,,HSC,,,1.0
k+2:AUTHOR_MISCONDUCT,-0.08,0.01358927417961562,-5.886995798495461,3.932786984961467e-09,-0.10663497739204661,-0.05336502260795339,2,AUTHOR_MISCONDUCT,active,active ~ arm | subject_group=HSC,34021,2617,438,15.461753731343356,,HSC,,,1.0
k+3:AUTHOR_MISCONDUCT,-0.08627450980392154,0.014576059676235036,-5.918918536302677,3.2406541894403063e-09,-0.11484358676934221,-0.05770543283850087,3,AUTHOR_MISCONDUCT,active,active ~ arm | subject_group=HSC,34021,2617,438,15.461753731343356,,HSC,,,1.0
k+4:AUTHOR_MISCONDUCT,-0.08156862745098033,0.013621765103194617,-5.988109972021952,2.1229351609974856e-09,-0.10826728705324178,-0.05486996784871888,4,AUTHOR_MISCONDUCT,active,active ~ arm | subject_group=HSC,34021,2617,438,15.461753731343356,,HSC,,,1.0
k+5:AUTHOR_MISCONDUCT,-0.11294117647058821,0.013428143910714887,-8.41078091071601,0.0,-0.1392603385355894,-0.08662201440558703,5,AUTHOR_MISCONDUCT,active,active ~ arm | subject_group=HSC,34021,2617,438,15.461753731343356,,HSC,,,1.0
k+6:AUTHOR_MISCONDUCT,-0.1176470588235294,0.014714465673543693,-7.995333397328616,1.3322676295501878e-15,-0.14648741154367503,-0.08880670610338376,6,AUTHOR_MISCONDUCT,active,active ~ arm | subject_group=HSC,34021,2617,438,15.461753731343356,,HSC,,,1.0
k-6:EDITORIAL_COMPROMISE,-0.1352611940298507,0.026627082169792378,-5.079835378406593,3.7776207317818944e-07,-0.18745027508264378,-0.08307211297705765,-6,EDITORIAL_COMPROMISE,active,active ~ arm | subject_group=HSC,34021,2617,438,15.461753731343356,,HSC,,,1.0
k-5:EDITORIAL_COMPROMISE,-0.12966417910447758,0.02377667895448099,-5.453418425370161,4.9410617819489744e-08,-0.17626646985526032,-0.08306188835369485,-5,EDITORIAL_COMPROMISE,active,active ~ arm | subject_group=HSC,34021,2617,438,15.461753731343356,,HSC,,,1.0
k-4:EDITORIAL_COMPROMISE,-0.09608208955223875,0.022528569559863015,-4.2648996997758335,1.999920227646612e-05,-0.14023808588957026,-0.051926093214907244,-4,EDITORIAL_COMPROMISE,active,active ~ arm | subject_group=HSC,34021,2617,438,15.461753731343356,,HSC,,,1.0
k-3:EDITORIAL_COMPROMISE,-0.062499999999999875,0.022653580491973344,-2.758945766747335,0.005798815764487486,-0.10690101776426764,-0.01809898223573212,-3,EDITORIAL_COMPROMISE,active,active ~ arm | subject_group=HSC,34021,2617,438,15.461753731343356,,HSC,,,1.0
