label,count,assigned,is_process,manual_override,override_arm
Taken via Peer Review,23,AUTHOR_MISCONDUCT,False,AUTHOR_MISCONDUCT,
Miscommunication with/by Journal/Publisher,20,UNCLASSIFIED,False,,
Hoax Paper,16,AUTHOR_MISCONDUCT,False,AUTHOR_MISCONDUCT,
Miscommunication with/by Third Party,13,UNCLASSIFIED,False,,
Nonpayment of Fees and/or Refusal to Pay,12,UNCLASSIFIED,False,,
Miscommunication with/by Company/Institution,12,UNCLASSIFIED,False,,
Euphemisms for Misconduct,11,AUTHOR_MISCONDUCT,False,,
Complaints about Third Party,10,UNCLASSIFIED,False,,
Taken via Translation,9,UNCLASSIFIED,False,,
Updated to Expression of Concern,9,UNCLASSIFIED,False,,
Misconduct by Company/Institution,8,UNCLASSIFIED,False,,
Complaints about Company/Institution,5,UNCLASSIFIED,False,,
EOC Lifted,5,UNCLASSIFIED,False,,
Sabotage of Materials/Methods,1,UNCLASSIFIED,False,,
