author_id,first_retraction_year,matched_arm,career_band,income_group,first_category,first_position,n_retractions,source_id,last_country,works_count,first_pub_year
A5046394206,2015,UNCONFIRMED_CONCERNS,veteran (20y+),higher,CONTROL,,0,S119714264,ZA,171,1974
A5043969557,2015,AUTHOR_MISCONDUCT,senior (10-20y),higher,CONTROL,,0,S167815962,CH,34,2003
A5091223225,2015,AUTHOR_MISCONDUCT,senior (10-20y),higher,CONTROL,,0,S11564597,KR,352,1997
A5087643899,2015,AUTHOR_MISCONDUCT,senior (10-20y),higher,CONTROL,,0,S202381698,,18,1998
A5112960435,2015,EDITORIAL_COMPROMISE,senior (10-20y),higher,CONTROL,,0,S79704628,NL,66,1997
A5042024396,2015,UNCONFIRMED_CONCERNS,mid (5-10y),higher,CONTROL,,0,S4210187594,FR,137,2008
A5039314958,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S4306463447,JP,141,1940
A5059553591,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S1010394304,CN,409,1995
A5049793842,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S42323631,,210,1994
A5012023474,2015,HONEST_ERROR,veteran (20y+),higher,CONTROL,,0,S42323631,CN,280,1982
A5110050669,2015,EDITORIAL_COMPROMISE,senior (10-20y),higher,CONTROL,,0,S133274750,US,35,2000
A5051907160,2015,EDITORIAL_COMPROMISE,senior (10-20y),higher,CONTROL,,0,S204030396,NL,175,2000
A5004586123,2015,HONEST_ERROR,veteran (20y+),higher,CONTROL,,0,S4306525036,ZA,686,1964
A5115595919,2015,AUTHOR_MISCONDUCT,senior (10-20y),higher,CONTROL,,0,S106296714,CN,88,2003
A5111565335,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S116251202,FR,89,1982
A5101762669,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S4210197683,JP,98,1974
A5014444486,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S4306525036,,38,1991
A5000286586,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S4306525036,US,93,1975
A5115589714,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S4306525036,TW,85,1986
A5004079547,2015,AUTHOR_MISCONDUCT,early (<5y),higher,CONTROL,,0,S28966261,,56,2012
A5000657535,2015,HONEST_ERROR,veteran (20y+),higher,CONTROL,,0,S4306525036,US,214,1985
A5016878136,2015,EDITORIAL_COMPROMISE,veteran (20y+),higher,CONTROL,,0,S7407056385,JP,212,1978
A5103590887,2015,AUTHOR_MISCONDUCT,mid (5-10y),higher,CONTROL,,0,S171015910,BR,5,2007
A5080658061,2015,EDITORIAL_COMPROMISE,senior (10-20y),higher,CONTROL,,0,S116251202,US,659,1997
A5027998158,2015,EDITORIAL_COMPROMISE,mid (5-10y),higher,CONTROL,,0,S4210217399,CN,56,2009
A5134934307,2015,AUTHOR_MISCONDUCT,early (<5y),higher,CONTROL,,0,S4210184193,,29,2012
A5030838197,2015,EDITORIAL_COMPROMISE,senior (10-20y),higher,CONTROL,,0,S76304953,US,99,1999
A5074178707,2015,EDITORIAL_COMPROMISE,early (<5y),higher,CONTROL,,0,S4210237713,,31,2012
A5029693346,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S4306402567,US,50,1971
A5065145502,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S4306525036,US,183,1990
A5078412790,2015,EDITORIAL_COMPROMISE,early (<5y),higher,CONTROL,,0,S110533041,US,42,2011
A5057597502,2015,UNCONFIRMED_CONCERNS,mid (5-10y),higher,CONTROL,,0,S19016632,CN,21,2010
A5100329859,2015,AUTHOR_MISCONDUCT,senior (10-20y),higher,CONTROL,,0,S201989124,CN,68,2001
A5055638573,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S2764437742,FR,101,1987
A5064165181,2015,EDITORIAL_COMPROMISE,mid (5-10y),higher,CONTROL,,0,S2755150845,RU,31,2008
A5073738575,2015,AUTHOR_MISCONDUCT,veteran (20y+),lower,CONTROL,,0,S178711970,IN,227,1987
A5069492919,2015,EDITORIAL_COMPROMISE,senior (10-20y),higher,CONTROL,,0,S175056054,RO,61,2002
A5011690926,2015,UNCONFIRMED_CONCERNS,mid (5-10y),higher,CONTROL,,0,S4306463230,US,67,2009
A5047515379,2015,AUTHOR_MISCONDUCT,senior (10-20y),higher,CONTROL,,0,S81455967,,45,2002
A5006361518,2015,HONEST_ERROR,senior (10-20y),higher,CONTROL,,0,S4306525036,CA,84,1998
A5087917111,2015,AUTHOR_MISCONDUCT,senior (10-20y),higher,CONTROL,,0,S183492911,GE,131,1999
A5100347431,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S48860480,CN,405,1992
A5111298017,2015,AUTHOR_MISCONDUCT,early (<5y),higher,CONTROL,,0,S4306525036,CN,34,2012
A5054169141,2015,EDITORIAL_COMPROMISE,veteran (20y+),higher,CONTROL,,0,S125166392,KR,85,1994
A5037693404,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S3880285,US,218,1993
A5003865074,2015,UNCONFIRMED_CONCERNS,early (<5y),higher,CONTROL,,0,S186357190,,29,2011
A5010670417,2015,HONEST_ERROR,veteran (20y+),higher,CONTROL,,0,S160568490,CN,152,1990
A5056953830,2015,EDITORIAL_COMPROMISE,mid (5-10y),higher,CONTROL,,0,S4210195883,JP,43,2006
A5108708811,2015,AUTHOR_MISCONDUCT,senior (10-20y),higher,CONTROL,,0,S143887118,CN,72,2003
