openalex_id,doi,pub_year,n_authors,source_id,retraction_date,retraction_year,category,rw_journal,rw_publisher
W3009430806,10.7759/cureus.7206,2020,5,S2738950867,2020-03-19,2020.0,UNCONFIRMED_CONCERNS,Cureus,Cureus (Part of Springer Nature as of December 2022)
W3026095058,10.1007/s12652-020-01966-4,2020,3,S48031226,2022-06-15,2022.0,EDITORIAL_COMPROMISE,Journal of Ambient Intelligence and Humanized Computing,Springer - Nature Publishing Group
W2997027472,10.1186/s12935-018-0665-1,2018,8,S130214813,2019-11-12,2019.0,AUTHOR_MISCONDUCT,Cancer Cell International,Springer
W2173793479,10.1007/s12035-015-9524-4,2015,7,S194681035,2017-07-01,2017.0,EDITORIAL_COMPROMISE,Molecular Neurobiology,Springer
W3185734331,10.1007/s12517-021-07741-9,2021,2,S38407038,2021-11-15,2021.0,AUTHOR_MISCONDUCT,Arabian Journal of Geosciences,Springer
W3184073210,10.1186/s12871-021-01417-3,2021,5,S197988427,2021-12-11,2021.0,ETHICS_VIOLATION,BMC Anesthesiology,Springer - Biomed Central (BMC)
W3182455124,10.1007/s10551-021-04890-5,2021,3,S76633192,2021-07-12,2021.0,EDITORIAL_COMPROMISE,Journal of Business Ethics,Springer
W2094120137,10.1007/s40003-015-0148-8,2015,5,S4210228808,2020-01-08,2020.0,AUTHOR_MISCONDUCT,Agricultural Research,Springer
W3042488653,10.1007/s12652-020-02283-6,2020,2,S48031226,2022-05-23,2022.0,EDITORIAL_COMPROMISE,Journal of Ambient Intelligence and Humanized Computing,Springer - Nature Publishing Group
W2530695968,10.1038/cddis.2016.268,2016,25,S185208586,2019-08-13,2019.0,AUTHOR_MISCONDUCT,Cell Death & Disease,Springer - Nature Publishing Group
W2558213201,10.1007/s13277-016-5458-3,2016,7,S12644804,2021-12-21,2021.0,AUTHOR_MISCONDUCT,Tumor Biology (Tumour Biology) - Official Journal of the International Society of Oncology and BioMarkers (ISOBM),IOS Press (bought by Sage November 2023)
W2502745578,10.3390/polym8080292,2016,3,S123288148,2017-08-21,2017.0,AUTHOR_MISCONDUCT,Polymers,MDPI
W2313303387,10.1007/s11033-014-3143-4,2014,6,S197962172,2015-08-18,2015.0,EDITORIAL_COMPROMISE,Molecular Biology Reports,Springer
W3122028754,10.1208/s12249-021-01934-x,2021,4,S1234972,2022-07-11,2022.0,HONEST_ERROR,AAPS PharmSciTech,Springer
W3125695460,10.1007/s11277-021-08092-0,2021,6,S49967189,2022-12-06,2022.0,EDITORIAL_COMPROMISE,Wireless Personal Communications,Springer
W2127288352,10.1186/s13638-015-0287-4,2015,2,S82675988,2016-08-16,2016.0,AUTHOR_MISCONDUCT,Eurasip Journal on Wireless Communications and Networking,Springer
W2025940882,10.1007/s00044-013-0866-z,2013,2,S36909932,2015-05-01,2015.0,UNCONFIRMED_CONCERNS,Medicinal Chemistry Research,Springer
