treated_id,control_id,pseudo_retraction_year,arm,treated_position,career_band,income_group,treated_pre_pubs,control_pre_pubs,treated_pre_recent,control_pre_recent,treated_pre_early,control_pre_early,treated_pre_growth,control_pre_growth,match_distance
A5006440865,A5088315391,2017,AUTHOR_MISCONDUCT,last,senior (10-20y),higher,19,19,3,3,16,16,-0.916290731874155,-0.916290731874155,0.0
A5101537750,A5075659302,2017,AUTHOR_MISCONDUCT,first,early (<5y),higher,13,13,13,13,0,0,1.6739764335716716,1.6739764335716716,0.0
A5051542045,A5068578582,2017,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,0,0,0,0,0,0,0.0,0.0,0.0
A5046023477,A5051148018,2017,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,1,1,1,1,0,0,0.2876820724517809,0.2876820724517809,0.0
A5102772113,A5013054661,2017,HONEST_ERROR,middle,veteran (20y+),higher,65,65,22,22,43,43,-0.3435897043900771,-0.3435897043900771,0.0
A5011458812,A5018000323,2017,HONEST_ERROR,middle,senior (10-20y),higher,13,13,9,9,4,4,0.6931471805599453,0.6931471805599453,0.0
A5091070572,A5048769380,2017,AUTHOR_MISCONDUCT,last,veteran (20y+),higher,712,778,412,437,300,341,0.5989328912762577,0.530912382332728,0.25303343125027666
A5113838277,A5001306853,2017,AUTHOR_MISCONDUCT,first,senior (10-20y),higher,6,6,3,3,3,3,0.13353139262452263,0.13353139262452263,0.0
A5065775971,A5029233916,2017,HONEST_ERROR,last,veteran (20y+),higher,95,95,50,50,45,45,0.3661536878932763,0.3661536878932763,0.0
A5102154211,A5033112209,2017,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,55,55,28,28,27,27,0.28768207245178123,0.28768207245178123,0.0
A5008292441,A5020042923,2017,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,9,9,6,6,3,3,0.5389965007326869,0.5389965007326869,0.0
A5071820720,A5003627580,2017,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,52,52,21,21,31,31,-0.08961215868968742,-0.08961215868968742,0.0
