treated_id,control_id,pseudo_retraction_year,arm,treated_position,career_band,income_group,treated_pre_pubs,control_pre_pubs,treated_pre_recent,control_pre_recent,treated_pre_early,control_pre_early,treated_pre_growth,control_pre_growth,match_distance
A5087300019,A5109375968,2015,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,3,3,3,3,0,0,0.6931471805599453,0.6931471805599453,0.0
A5108236326,A5055627271,2015,AUTHOR_MISCONDUCT,middle,mid (5-10y),higher,7,7,6,6,1,1,0.8754687373538999,0.8754687373538999,0.0
A5078367532,A5111083958,2015,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,26,26,9,9,17,17,-0.27193371548364187,-0.27193371548364187,0.0
A5103730942,A5088299105,2015,AUTHOR_MISCONDUCT,last,veteran (20y+),higher,8,8,3,3,5,5,-0.11778303565638348,-0.11778303565638348,0.0
A5043572851,A5106469804,2015,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,34,34,28,28,6,6,1.4190841839428816,1.4190841839428816,0.0
A5102190361,A5010082102,2015,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,18,18,14,14,4,4,1.0414538748281612,1.0414538748281612,0.0
A5022537978,A5053039164,2015,HONEST_ERROR,middle,mid (5-10y),higher,11,11,8,8,3,3,0.7396671961948382,0.7396671961948382,0.0
A5085217312,A5031394715,2015,AUTHOR_MISCONDUCT,last,early (<5y),lower,8,8,8,8,0,0,1.2992829841302609,1.2992829841302609,0.0
A5013571940,A5040671249,2015,AUTHOR_MISCONDUCT,middle,veteran (20y+),,0,0,0,0,0,0,0.0,0.0,0.0
A5089154572,A5038542444,2015,EDITORIAL_COMPROMISE,last,senior (10-20y),higher,5,5,3,3,2,2,0.2876820724517809,0.2876820724517809,0.0
A5101971541,A5101905466,2015,EDITORIAL_COMPROMISE,first,mid (5-10y),higher,12,12,11,11,1,1,1.3173014896329391,1.3173014896329391,0.0
A5051966542,A5028336562,2015,HONEST_ERROR,last,veteran (20y+),higher,107,107,48,48,59,59,0.07637297878457394,0.07637297878457394,0.0
A5103413546,A5000516005,2015,UNCONFIRMED_CONCERNS,last,veteran (20y+),higher,3,3,0,0,3,3,-0.5596157879354227,-0.5596157879354227,0.0
A5103137782,A5086059674,2015,AUTHOR_MISCONDUCT,last,senior (10-20y),higher,1,1,0,0,1,1,-0.22314355131420976,-0.22314355131420976,0.0
A5110001579,A5053050139,2015,HONEST_ERROR,middle,veteran (20y+),higher,15,15,9,9,6,6,0.47000362924573547,0.47000362924573547,0.0
A5048347248,A5101777974,2015,AUTHOR_MISCONDUCT,last,mid (5-10y),higher,39,39,35,35,4,4,1.8458266904983307,1.8458266904983307,0.0
A5113749521,A5134232409,2015,EDITORIAL_COMPROMISE,middle,mid (5-10y),higher,3,3,2,2,1,1,0.28768207245178096,0.28768207245178096,0.0
A5045703250,A5018920635,2015,AUTHOR_MISCONDUCT,last,veteran (20y+),higher,9,9,6,6,3,3,0.5389965007326869,0.5389965007326869,0.0
A5100678473,A5102705449,2015,AUTHOR_MISCONDUCT,first,veteran (20y+),higher,33,33,11,11,22,22,-0.3313571359544425,-0.3313571359544425,0.0
A5106231611,A5110285297,2015,AUTHOR_MISCONDUCT,last,senior (10-20y),higher,10,10,6,6,4,4,0.4054651081081643,0.4054651081081643,0.0
A5014969265,A5018999511,2015,HONEST_ERROR,middle,senior (10-20y),higher,12,12,2,2,10,10,-0.7419373447293773,-0.7419373447293773,0.0
A5100424372,A5090252226,2015,EDITORIAL_COMPROMISE,middle,senior (10-20y),higher,23,23,13,13,10,10,0.42121346507630353,0.42121346507630353,0.0
A5000117686,A5024024570,2015,AUTHOR_MISCONDUCT,middle,mid (5-10y),higher,8,8,0,0,8,8,-1.0986122886681096,-1.0986122886681096,0.0
A5101941542,A5077593567,2015,AUTHOR_MISCONDUCT,first,senior (10-20y),lower,16,16,11,11,5,5,0.7295148247308201,0.7295148247308201,0.0
A5086092552,A5013064709,2015,HONEST_ERROR,middle,veteran (20y+),higher,138,137,66,66,72,71,0.1910552367627094,0.2043004635127299,0.026490453500040978
A5011531365,A5082932758,2015,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,16,16,6,6,10,10,-0.1541506798272585,-0.1541506798272585,0.0
A5045211553,A5027201794,2015,AUTHOR_MISCONDUCT,last,senior (10-20y),higher,117,116,44,43,73,73,-0.20597574769184446,-0.22748195291280782,0.04301241044192672
A5057051395,A5084878492,2015,AUTHOR_MISCONDUCT,first,mid (5-10y),higher,3,3,2,2,1,1,0.28768207245178096,0.28768207245178096,0.0
A5100402538,A5100718580,2015,AUTHOR_MISCONDUCT,last,veteran (20y+),higher,54,54,24,24,30,30,0.057158413839948796,0.057158413839948796,0.0
A5035741458,A5045865871,2015,HONEST_ERROR,middle,veteran (20y+),higher,10,10,2,2,8,8,-0.5877866649021188,-0.5877866649021188,0.0
A5017119350,A5011211191,2015,HONEST_ERROR,middle,senior (10-20y),higher,44,44,25,25,19,19,0.48439236669783514,0.48439236669783514,0.0
A5103181212,A5088264571,2015,AUTHOR_MISCONDUCT,middle,early (<5y),,4,4,3,3,1,1,0.4700036292457355,0.4700036292457355,0.0
A5043116225,A5024213174,2015,AUTHOR_MISCONDUCT,first,veteran (20y+),higher,9,9,5,5,4,4,0.2876820724517809,0.2876820724517809,0.0
A5003380868,A5041110713,2015,HONEST_ERROR,middle,veteran (20y+),higher,51,51,21,21,30,30,-0.06062462181643502,-0.06062462181643502,0.0
A5039967728,A5052271050,2015,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,24,24,14,14,10,10,0.4818380868927383,0.4818380868927383,0.0
A5011479877,A5037114119,2015,HONEST_ERROR,middle,senior (10-20y),higher,8,8,1,1,7,7,-0.723918839226699,-0.723918839226699,0.0
A5076968285,A5044638051,2015,HONEST_ERROR,last,veteran (20y+),higher,77,77,31,31,46,46,-0.09798040836020405,-0.09798040836020405,0.0
A5033308081,A5054937799,2015,AUTHOR_MISCONDUCT,middle,early (<5y),lower,6,6,4,4,2,2,0.4418327522790392,0.4418327522790392,0.0
A5067955997,A5120183226,2015,HONEST_ERROR,middle,senior (10-20y),higher,17,17,10,10,7,7,0.4547361571149473,0.4547361571149473,0.0
A5013928213,A5000078617,2015,HONEST_ERROR,middle,veteran (20y+),higher,115,116,42,42,73,74,-0.24946085963158326,-0.26236426446749084,0.025806809671815145
A5078268317,A5049978799,2015,AUTHOR_MISCONDUCT,first,mid (5-10y),higher,13,13,12,12,1,1,1.3862943611198906,1.3862943611198906,0.0
A5113131135,A5044025412,2015,AUTHOR_MISCONDUCT,middle,early (<5y),higher,3,3,2,2,1,1,0.28768207245178096,0.28768207245178096,0.0
A5010904149,A5100340048,2015,HONEST_ERROR,last,senior (10-20y),higher,132,132,67,67,65,65,0.30207080990388047,0.30207080990388047,0.0
A5103448309,A5051007310,2015,AUTHOR_MISCONDUCT,first,veteran (20y+),higher,11,11,4,4,7,7,-0.16430305129127631,-0.16430305129127631,0.0
A5005543131,A5080555559,2015,AUTHOR_MISCONDUCT,first,veteran (20y+),higher,138,138,54,54,84,84,-0.1466034741918758,-0.1466034741918758,0.0
A5077716904,A5086577617,2015,EDITORIAL_COMPROMISE,last,mid (5-10y),higher,2,2,1,1,1,1,0.06453852113757114,0.06453852113757114,0.0
A5088102179,A5063164369,2015,EDITORIAL_COMPROMISE,first,mid (5-10y),higher,9,9,6,6,3,3,0.5389965007326869,0.5389965007326869,0.0
A5063700365,A5056003059,2015,HONEST_ERROR,last,senior (10-20y),higher,38,38,17,17,21,21,0.06453852113757108,0.06453852113757108,0.0
A5102212434,A5024017655,2015,EDITORIAL_COMPROMISE,last,mid (5-10y),higher,14,14,4,4,10,10,-0.4054651081081645,-0.4054651081081645,0.0
A5101945949,A5022680113,2015,UNCONFIRMED_CONCERNS,last,veteran (20y+),higher,18,18,5,5,13,13,-0.4660897299245992,-0.4660897299245992,0.0
A5076108493,A5075317149,2015,AUTHOR_MISCONDUCT,first,early (<5y),higher,4,4,4,4,0,0,0.8472978603872036,0.8472978603872036,0.0
A5101420291,A5057508856,2015,AUTHOR_MISCONDUCT,first,mid (5-10y),higher,7,7,4,4,3,3,0.2876820724517809,0.2876820724517809,0.0
A5008243514,A5037197667,2015,AUTHOR_MISCONDUCT,middle,mid (5-10y),higher,6,6,2,2,4,4,-0.18232155679395456,-0.18232155679395456,0.0
A5101907124,A5043326555,2015,EDITORIAL_COMPROMISE,middle,mid (5-10y),higher,5,5,3,3,2,2,0.2876820724517809,0.2876820724517809,0.0
A5007908965,A5047529004,2015,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,44,44,17,17,27,27,-0.15057285847937418,-0.15057285847937418,0.0
A5069590039,A5046394206,2015,UNCONFIRMED_CONCERNS,middle,veteran (20y+),higher,36,36,20,20,16,16,0.42744401482693983,0.42744401482693983,0.0
A5030888426,A5043969557,2015,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,8,8,6,6,2,2,0.6931471805599452,0.6931471805599452,0.0
A5100378570,A5091223225,2015,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,79,80,52,53,27,27,0.8610280531991057,0.8790465587017842,0.036037011005356945
A5100358329,A5087643899,2015,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,8,8,4,4,4,4,0.15415067982725827,0.15415067982725827,0.0
A5100433142,A5112960435,2015,EDITORIAL_COMPROMISE,middle,senior (10-20y),higher,10,10,5,5,5,5,0.16989903679539742,0.16989903679539742,0.0
A5091879283,A5042024396,2015,UNCONFIRMED_CONCERNS,last,mid (5-10y),higher,40,40,29,29,11,11,1.0453677741492975,1.0453677741492975,0.0
A5086555955,A5039314958,2015,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,52,53,11,12,41,41,-0.8799230877032804,-0.810930216216329,0.13798574297390287
A5090005733,A5059553591,2015,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,89,89,41,41,48,48,0.12062798778861472,0.12062798778861472,0.0
A5100447324,A5049793842,2015,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,69,69,29,29,40,40,-0.030771658666753687,-0.030771658666753687,0.0
A5041520132,A5012023474,2015,HONEST_ERROR,last,veteran (20y+),higher,120,121,52,52,68,69,0.018349138668196652,0.0045558165358605685,0.027586644264672167
A5061931880,A5110050669,2015,EDITORIAL_COMPROMISE,last,senior (10-20y),higher,18,18,11,11,7,7,0.528844129268669,0.528844129268669,0.0
A5077119268,A5051907160,2015,EDITORIAL_COMPROMISE,middle,senior (10-20y),higher,72,72,36,36,36,36,0.26236426446749084,0.26236426446749084,0.0
A5065188755,A5004586123,2015,HONEST_ERROR,last,veteran (20y+),higher,225,230,109,113,116,117,0.21868920096482958,0.2454817179614044,0.07018263962253979
A5108642439,A5115595919,2015,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,15,15,2,2,13,13,-0.9360933591703346,-0.9360933591703346,0.0
A5001373681,A5111565335,2015,AUTHOR_MISCONDUCT,last,veteran (20y+),higher,22,22,9,9,13,13,-0.0606246218164348,-0.0606246218164348,0.0
A5001083444,A5101762669,2015,AUTHOR_MISCONDUCT,first,veteran (20y+),higher,18,18,14,14,4,4,1.0414538748281612,1.0414538748281612,0.0
A5091290338,A5014444486,2015,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,14,14,10,10,4,4,0.7731898882334819,0.7731898882334819,0.0
A5113777573,A5000286586,2015,AUTHOR_MISCONDUCT,first,veteran (20y+),higher,6,6,6,6,0,0,1.0986122886681096,1.0986122886681096,0.0
A5110309058,A5115589714,2015,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,18,18,3,3,15,15,-0.8649974374866046,-0.8649974374866046,0.0
A5101882373,A5004079547,2015,AUTHOR_MISCONDUCT,first,early (<5y),higher,14,14,14,14,0,0,1.7346010553881064,1.7346010553881064,0.0
A5051594294,A5000657535,2015,HONEST_ERROR,middle,veteran (20y+),higher,51,51,28,28,23,23,0.4258324109325984,0.4258324109325984,0.0
A5105514274,A5016878136,2015,EDITORIAL_COMPROMISE,last,veteran (20y+),higher,64,64,28,28,36,36,0.03278982282299081,0.03278982282299081,0.0
A5075690459,A5103590887,2015,AUTHOR_MISCONDUCT,middle,mid (5-10y),higher,3,3,0,0,3,3,-0.5596157879354227,-0.5596157879354227,0.0
A5100451520,A5080658061,2015,EDITORIAL_COMPROMISE,middle,senior (10-20y),higher,127,128,70,70,57,58,0.46726764942686083,0.4510071285550805,0.03252104174356063
A5019938729,A5027998158,2015,EDITORIAL_COMPROMISE,first,mid (5-10y),higher,11,11,2,2,9,9,-0.6678293725756554,-0.6678293725756554,0.0
A5077914937,A5134934307,2015,AUTHOR_MISCONDUCT,middle,early (<5y),higher,5,5,5,5,0,0,0.9808292530117262,0.9808292530117262,0.0
A5003884101,A5030838197,2015,EDITORIAL_COMPROMISE,first,senior (10-20y),higher,29,29,12,12,17,17,-0.04879016416943216,-0.04879016416943216,0.0
A5020819187,A5074178707,2015,EDITORIAL_COMPROMISE,middle,early (<5y),higher,4,4,4,4,0,0,0.8472978603872036,0.8472978603872036,0.0
A5111904151,A5029693346,2015,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,11,11,1,1,10,10,-0.9650808960435872,-0.9650808960435872,0.0
A5074170976,A5065145502,2015,AUTHOR_MISCONDUCT,first,veteran (20y+),higher,47,47,23,23,24,24,0.21357410029805934,0.21357410029805934,0.0
A5101412255,A5078412790,2015,EDITORIAL_COMPROMISE,middle,early (<5y),higher,8,8,6,6,2,2,0.6931471805599452,0.6931471805599452,0.0
A5061751275,A5057597502,2015,UNCONFIRMED_CONCERNS,first,mid (5-10y),higher,10,10,8,8,2,2,0.8938178760220965,0.8938178760220965,0.0
A5021307301,A5100329859,2015,AUTHOR_MISCONDUCT,last,senior (10-20y),higher,17,17,11,11,6,6,0.6241543090729937,0.6241543090729937,0.0
A5070846875,A5055638573,2015,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,14,14,8,8,6,6,0.3829922522561058,0.3829922522561058,0.0
A5017969862,A5064165181,2015,EDITORIAL_COMPROMISE,middle,mid (5-10y),higher,8,8,2,2,6,6,-0.4054651081081644,-0.4054651081081644,0.0
A5110245359,A5073738575,2015,AUTHOR_MISCONDUCT,middle,veteran (20y+),lower,60,60,35,35,25,25,0.5579724021916928,0.5579724021916928,0.0
A5110464091,A5069492919,2015,EDITORIAL_COMPROMISE,middle,senior (10-20y),higher,7,7,6,6,1,1,0.8754687373538999,0.8754687373538999,0.0
A5004242583,A5011690926,2015,UNCONFIRMED_CONCERNS,middle,mid (5-10y),higher,34,34,16,16,18,18,0.14107859825990543,0.14107859825990543,0.0
A5100966919,A5047515379,2015,AUTHOR_MISCONDUCT,first,senior (10-20y),higher,26,26,13,13,13,13,0.22705745063534621,0.22705745063534621,0.0
A5104229187,A5006361518,2015,HONEST_ERROR,middle,senior (10-20y),higher,19,19,14,14,5,5,0.9236708391717776,0.9236708391717776,0.0
A5103091944,A5087917111,2015,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,54,54,19,19,35,35,-0.2848371203195499,-0.2848371203195499,0.0
A5087939653,A5100347431,2015,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,82,82,45,45,37,37,0.445311016655364,0.445311016655364,0.0
A5058571851,A5111298017,2015,AUTHOR_MISCONDUCT,middle,early (<5y),higher,12,12,12,12,0,0,1.6094379124341003,1.6094379124341003,0.0
A5100375228,A5054169141,2015,EDITORIAL_COMPROMISE,middle,veteran (20y+),higher,31,31,26,26,5,5,1.4577533251020354,1.4577533251020354,0.0
A5057822554,A5037693404,2015,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,50,50,26,26,24,24,0.3227733922630509,0.3227733922630509,0.0
A5026020435,A5003865074,2015,UNCONFIRMED_CONCERNS,middle,early (<5y),higher,10,10,9,9,1,1,1.1631508098056809,1.1631508098056809,0.0
A5049639928,A5010670417,2015,HONEST_ERROR,middle,veteran (20y+),higher,36,36,15,15,21,21,-0.040821994520255256,-0.040821994520255256,0.0
A5009973833,A5056953830,2015,EDITORIAL_COMPROMISE,first,mid (5-10y),higher,9,9,2,2,7,7,-0.5007752879124892,-0.5007752879124892,0.0
A5101980844,A5108708811,2015,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,33,33,21,21,12,12,0.6931471805599452,0.6931471805599452,0.0
A5102883746,A5114377957,2015,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,15,15,11,11,4,4,0.8472978603872036,0.8472978603872036,0.0
A5102713991,A5110119774,2015,HONEST_ERROR,middle,senior (10-20y),higher,10,10,4,4,6,6,-0.06899287148695155,-0.06899287148695155,0.0
A5068589946,A5110129110,2015,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,2,2,0,0,2,2,-0.4054651081081644,-0.4054651081081644,0.0
A5038734059,A5109172400,2015,AUTHOR_MISCONDUCT,middle,mid (5-10y),higher,9,9,9,9,0,0,1.3862943611198906,1.3862943611198906,0.0
A5068365109,A5113987823,2015,AUTHOR_MISCONDUCT,last,mid (5-10y),higher,45,45,34,34,11,11,1.1905497839937953,1.1905497839937953,0.0
A5026399465,A5101732312,2015,HONEST_ERROR,last,veteran (20y+),higher,50,50,22,22,28,28,0.040821994520255256,0.040821994520255256,0.0
A5088589850,A5002286583,2015,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,57,57,29,29,28,28,0.28768207245178123,0.28768207245178123,0.0
A5073254665,A5112272722,2015,EDITORIAL_COMPROMISE,middle,senior (10-20y),higher,1,1,1,1,0,0,0.2876820724517809,0.2876820724517809,0.0
A5063684693,A5088062433,2015,EDITORIAL_COMPROMISE,middle,senior (10-20y),higher,25,25,10,10,15,15,-0.09180754925312273,-0.09180754925312273,0.0
A5089700251,A5038222003,2015,HONEST_ERROR,middle,veteran (20y+),higher,5,5,1,1,4,4,-0.4054651081081644,-0.4054651081081644,0.0
A5039200530,A5074452723,2015,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,49,49,19,19,30,30,-0.1476359988060647,-0.1476359988060647,0.0
A5103041998,A5053671859,2015,EDITORIAL_COMPROMISE,last,senior (10-20y),higher,52,52,18,18,34,34,-0.3053816495511821,-0.3053816495511821,0.0
A5110465516,A5045264655,2015,HONEST_ERROR,last,veteran (20y+),higher,9,9,7,7,2,2,0.7985076962177717,0.7985076962177717,0.0
A5075011408,A5074237064,2015,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,22,22,16,16,6,6,0.9295359586241756,0.9295359586241756,0.1
A5042933114,A5047473434,2015,HONEST_ERROR,middle,veteran (20y+),higher,35,35,16,16,19,19,0.0966268356890716,0.0966268356890716,0.0
A5087766294,A5110561633,2015,HONEST_ERROR,middle,veteran (20y+),higher,24,24,15,15,9,9,0.6131044728864088,0.6131044728864088,0.0
A5023131329,A5087304353,2015,EDITORIAL_COMPROMISE,middle,early (<5y),higher,7,7,6,6,1,1,0.8754687373538999,0.8754687373538999,0.0
A5050078225,A5108753892,2015,HONEST_ERROR,middle,veteran (20y+),higher,10,10,2,2,8,8,-0.5877866649021188,-0.5877866649021188,0.0
A5065169479,A5012167552,2015,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,168,169,78,78,90,91,0.1388364448542161,0.12825433552367915,0.021164218661073875
A5100639020,A5079118403,2015,EDITORIAL_COMPROMISE,last,senior (10-20y),higher,37,37,17,17,20,20,0.10536051565782634,0.10536051565782634,0.0
A5055740291,A5100390017,2015,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,43,43,13,13,30,30,-0.4660897299245992,-0.4660897299245992,0.0
A5101945925,A5031783731,2015,EDITORIAL_COMPROMISE,last,senior (10-20y),higher,35,35,18,18,17,17,0.2876820724517808,0.2876820724517808,0.0
A5029168875,A5027843569,2015,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,5,5,1,1,4,4,-0.4054651081081644,-0.4054651081081644,0.0
A5051411404,A5054087867,2015,UNCLASSIFIED,first,mid (5-10y),higher,9,9,6,6,3,3,0.5389965007326869,0.5389965007326869,0.0
A5059541756,A5027819799,2015,AUTHOR_MISCONDUCT,middle,mid (5-10y),higher,28,28,19,19,9,9,0.8137751683485599,0.8137751683485599,0.0
A5062466292,A5050636201,2015,AUTHOR_MISCONDUCT,first,senior (10-20y),higher,12,12,1,1,11,11,-1.0340737675305385,-1.0340737675305385,0.0
A5109044418,A5111671533,2015,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,5,5,1,1,4,4,-0.4054651081081644,-0.4054651081081644,0.0
A5062788777,A5052696729,2015,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,84,84,54,54,30,30,0.8043728156701695,0.8043728156701695,0.0
A5060832996,A5048376468,2015,EDITORIAL_COMPROMISE,middle,senior (10-20y),higher,83,83,49,49,34,34,0.6013396313068222,0.6013396313068222,0.0
A5090825625,A5062013397,2015,HONEST_ERROR,middle,veteran (20y+),higher,20,20,11,11,9,9,0.3617900446055027,0.3617900446055027,0.0
A5005886235,A5025528565,2015,AUTHOR_MISCONDUCT,last,veteran (20y+),higher,86,86,44,44,42,42,0.3091882776727446,0.3091882776727446,0.0
A5054472689,A5067381990,2015,AUTHOR_MISCONDUCT,last,veteran (20y+),higher,57,57,23,23,34,34,-0.09180754925312273,-0.09180754925312273,0.0
A5036721982,A5110904548,2015,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,3,3,1,1,2,2,-0.11778303565638348,-0.11778303565638348,0.0
A5101885816,A5000062113,2015,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,4,4,4,4,0,0,0.8472978603872036,0.8472978603872036,0.0
A5079899449,A5006904372,2015,HONEST_ERROR,middle,early (<5y),higher,4,4,4,4,0,0,0.8472978603872036,0.8472978603872036,0.0
A5013791421,A5101933488,2015,UNCLASSIFIED,middle,veteran (20y+),higher,0,0,0,0,0,0,0.0,0.0,0.0
A5100614828,A5069986738,2015,AUTHOR_MISCONDUCT,first,senior (10-20y),higher,86,85,53,52,33,33,0.7021158505427056,0.6840973450400272,0.036037011005356945
A5039868907,A5037370138,2015,HONEST_ERROR,last,veteran (20y+),higher,50,50,21,21,29,29,-0.030771658666753687,-0.030771658666753687,0.0
A5039542482,A5081698208,2015,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,29,29,10,10,19,19,-0.2828627860158319,-0.2828627860158319,0.0
A5108408284,A5028905834,2015,EDITORIAL_COMPROMISE,middle,senior (10-20y),higher,25,25,12,12,13,13,0.1625189294977749,0.1625189294977749,0.0
A5030480665,A5028374729,2015,EDITORIAL_COMPROMISE,first,early (<5y),higher,6,6,3,3,3,3,0.13353139262452263,0.13353139262452263,0.0
A5110904357,A5101926140,2015,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,17,17,11,11,6,6,0.6241543090729937,0.6241543090729937,0.0
A5059194531,A5114016284,2015,AUTHOR_MISCONDUCT,first,veteran (20y+),higher,18,18,12,12,6,6,0.6931471805599452,0.6931471805599452,0.0
A5036083160,A5109571986,2015,AUTHOR_MISCONDUCT,first,veteran (20y+),higher,30,30,27,27,3,3,1.7429693050586232,1.7429693050586232,0.0
A5109156841,A5029585591,2015,HONEST_ERROR,middle,senior (10-20y),higher,60,60,33,33,27,27,0.4372138064227449,0.4372138064227449,0.0
A5039638092,A5110223301,2015,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,15,15,5,5,10,10,-0.27193371548364187,-0.27193371548364187,0.0
A5101905927,A5101699365,2015,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,3,3,2,2,1,1,0.28768207245178096,0.28768207245178096,0.0
A5042436075,A5035604848,2015,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,74,74,36,36,38,38,0.21357410029805912,0.21357410029805912,0.0
A5101069868,A5011710584,2015,EDITORIAL_COMPROMISE,middle,veteran (20y+),higher,3,3,1,1,2,2,-0.11778303565638348,-0.11778303565638348,0.0
A5054684827,A5047147086,2015,AUTHOR_MISCONDUCT,first,early (<5y),lower,5,5,5,5,0,0,0.9808292530117262,0.9808292530117262,0.0
A5001064957,A5040852112,2015,HONEST_ERROR,middle,mid (5-10y),higher,14,14,10,10,4,4,0.7731898882334819,0.7731898882334819,0.0
A5077212478,A5000014343,2015,UNCONFIRMED_CONCERNS,middle,veteran (20y+),higher,9,9,3,3,6,6,-0.22314355131420982,-0.22314355131420982,0.0
A5113723465,A5110853758,2015,AUTHOR_MISCONDUCT,first,veteran (20y+),higher,26,26,26,26,0,0,2.268683541318364,2.268683541318364,0.0
A5041721692,A5087392088,2015,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,91,91,51,51,40,40,0.49247648509779385,0.49247648509779385,0.0
A5027113065,A5027742835,2015,EDITORIAL_COMPROMISE,middle,mid (5-10y),higher,5,5,2,2,3,3,-0.04879016416943194,-0.04879016416943194,0.0
A5102144921,A5079062564,2015,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,43,43,7,7,36,36,-1.0986122886681098,-1.0986122886681098,0.0
A5064605531,A5012977926,2015,AUTHOR_MISCONDUCT,last,veteran (20y+),higher,31,31,9,9,22,22,-0.48550781578170077,-0.48550781578170077,0.0
A5067873267,A5012719168,2015,AUTHOR_MISCONDUCT,middle,veteran (20y+),lower,32,32,18,18,14,14,0.44183275227903906,0.44183275227903906,0.0
A5028526493,A5100306588,2015,HONEST_ERROR,middle,senior (10-20y),higher,11,11,6,6,5,5,0.2876820724517808,0.2876820724517808,0.0
A5104705753,A5004143405,2015,HONEST_ERROR,middle,mid (5-10y),higher,3,3,1,1,2,2,-0.11778303565638348,-0.11778303565638348,0.0
A5105365293,A5000052912,2015,HONEST_ERROR,middle,veteran (20y+),higher,1,1,1,1,0,0,0.2876820724517809,0.2876820724517809,0.0
A5025203637,A5087375340,2015,HONEST_ERROR,middle,mid (5-10y),higher,4,4,2,2,2,2,0.10536051565782634,0.10536051565782634,0.0
A5064872830,A5115547308,2015,AUTHOR_MISCONDUCT,middle,mid (5-10y),higher,15,15,12,12,3,3,1.0498221244986776,1.0498221244986776,0.0
A5044583088,A5021432664,2015,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,159,158,61,61,98,97,-0.1784076574728184,-0.16855536102980695,0.019704592886022887
A5003205988,A5030665045,2015,EDITORIAL_COMPROMISE,middle,early (<5y),higher,4,4,2,2,2,2,0.10536051565782634,0.10536051565782634,0.0
A5030225225,A5015572418,2015,EDITORIAL_COMPROMISE,last,veteran (20y+),higher,12,12,8,8,4,4,0.6061358035703156,0.6061358035703156,0.0
A5016957226,A5038475742,2015,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,10,10,5,5,5,5,0.16989903679539742,0.16989903679539742,0.0
A5006919649,A5027542397,2015,AUTHOR_MISCONDUCT,middle,mid (5-10y),higher,36,36,23,23,13,13,0.7125652664170472,0.7125652664170472,0.0
A5079081610,A5002202182,2015,EDITORIAL_COMPROMISE,middle,veteran (20y+),higher,42,42,24,24,18,18,0.4924764850977943,0.4924764850977943,0.0
A5100347400,A5112320445,2015,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,110,110,62,62,48,48,0.5108256237659909,0.5108256237659909,0.0
A5109079311,A5066653680,2015,EDITORIAL_COMPROMISE,middle,veteran (20y+),higher,8,8,3,3,5,5,-0.11778303565638348,-0.11778303565638348,0.0
A5072640557,A5083039326,2015,EDITORIAL_COMPROMISE,last,veteran (20y+),,0,0,0,0,0,0,0.0,0.0,0.0
A5005977719,A5100549687,2015,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,17,17,12,12,5,5,0.7985076962177715,0.7985076962177715,0.0
A5103706916,A5001674885,2015,AUTHOR_MISCONDUCT,last,veteran (20y+),lower,8,8,8,8,0,0,1.2992829841302609,1.2992829841302609,0.0
